25 mg,Coated Tab,AMITRIPTYLINE HCI,68
100 mg,Coated Tab,AMITRIPTYLINE HCI,66
50 mg,Scored Coated Tab,AMITRIPTYLINE HCI,69
5 mg,Tab,AMLODIPINE (AS BESYLATE),70
,Bulk,AMMONIUM CHLORIDE,72
,Bulk,AMMONIUM HYDROXIDE,74
,Bulk,AMMONIUM ALUM,71
250 mg,Cap,AMOXICILLIN,76
250 mg,Tab,AMOXICILLIN,2020
500 mg,Cap,AMOXICILLIN,77
500 mg,Tab,AMOXICILLIN,2021
125 mg/5 ml (100 ml),Susp,AMOXICILLIN,75
250 mg/5 ml (100 ml),Susp,AMOXICILLIN,78
400 mg,Chewable Tab,AMOXICILLIN,99904
200 mg/5 ml,Powder For Suspension,AMOXICILLIN,6523
400 mg/5 ml,Powder For Suspension,AMOXICILLIN,6524
50 mg,Inj,AMPHOTERICIN - B,79
2 g /1 g (3g),Inj,AMPICILLIN + SULBACTAM,6938
1 g /0.5 g (1.5 g),Inj,AMPICILLIN + SULBACTAM,6939
250 mg,Cap,AMPICILLIN,84
250 mg,Tab,AMPICILLIN,1386
500 mg,Cap,AMPICILLIN,85
500 mg,Tab,AMPICILLIN,1387
125 mg/5 ml (100 ml),Susp,AMPICILLIN,83
250 mg/5 ml (100 ml),Susp,AMPICILLIN,86
1 g,Inj,AMPICILLIN (AS SODIUM),80
250 mg,Inj,AMPICILLIN (AS SODIUM),81
500 mg,Inj,AMPICILLIN (AS SODIUM),82
100 mg/20 ml,Inj,AMRINONE (AS LACTATE),87
,Amp For Inhalation,AMYL NITRITE,1388
0.5 MCG,Cap,ANAGRALIDE,7659
,Tab (Jar),ANETHUM,10115
,Tab (bilister),ANETHUM,1389
30G,Cream&Cap,ANGIPARS,10877
250 mcg,Inj,ANTI - D IMMUNEGLOBULIN,1098
300 mcg,Inj,ANTI - D IMMUNEGLOBULIN (ANTI-RH),1099
250 U,Inj,ANTI HEMOPHILIC FACTOR (Factor VIII),89
500 U,Inj,ANTI HEMOPHILIC FACTOR (Factor VIII),90
,Supp,ANTI HEMORRHOID,97
15 g,Rectal Oint,ANTI HEMORRHOID,96
,Tab,ANTI HISTAMINE DECONGESTANT,98
,Coated Tab,ANTI HISTAMINE DECONGESTANT SR,2022
100 mg/5 ml,Inj,ANTI LYMPHOCYTE IMMUNOGLOBULIN,99
50 mg/ml,Inj,ANTI LYMPHOCYTE IMMUNOGLOBULIN,1391
5 ml,Inj,ANTI SCORPION VENOM SERUM,1392
10 ml,Inj,ANTI SNAKE VENOM SERUM,1393
250 mg/5 ml,Inj,ANTI THYMOCYTE IMMUNOGLOBULIN,100
25 mg,"Inj Powder,Lyophilized",ANTI THYMOCYTE IMMUNOGLOBULIN,2371
100 mg/5 ml,Inj,ANTI THYMOCYTE IMMUNOGLOBULIN,99962
250 U,Vial,ANTIHEMOPHILIC FACTOR (FACTOR VIII) VONWILLEBRAND,12423
500 U,Vial,ANTIHEMOPHILIC FACTOR (FACTOR VIII) VONWILLEBRAND,9563
500U,Inj,ANTIHEMOPHILIC FACTOR VIII (RECONBINANT),12544
250U,Inj,ANTIHEMOPHILIC FACTOR VIII (RECONBINANT),13238
10 mg/ml,Inj,"APOMORPHINE HCL,1/2 H20",101
80mg,Cap,APREPITANT,13435
80mg,Tab,APREPITANT,99963
125 mg,Cap,APREPITANT,13434
125 mg,Tab,APREPITANT,99964
80m(2 tabs) + 125(1 tab),Tab,APREPITANT,12008
80m(2 tabs) + 125(1 tab),Cap,APREPITANT,18986
"20,000 kiu/ml",Inj,APROTININ,1394
"10,000 kiu/ml",Inj,APROTININ,1861
"50,000 kiu/ml",Inj,APROTININ,102
,Bulk,ARACHIS OIL,103
10% (300 ml),Inj,ARGININE HCL,104
5mg,Tab,ARIPIPERAZOLE,10392
10mg,Tab,ARIPIPERAZOLE,5519
15mg,Tab,ARIPIPERAZOLE,5521
30mg,Tab,ARIPIPERAZOLE,7178
0.10%,Inj,ARSENIC TRIOXIDE,2079
0.5% (10 ml),Sterile Eye Drop,ARTIFICIAL TEARS (HYPROMELLOSE),105
1%,Sterile Eye Drop,ARTIFICIAL TEARS (HYPROMELLOSE),19441
100 mg,Chewable Tab,ASA (ACETYL SALICYLIC ACID),106
325 mg,EC Tab,ASA (ACETYL SALICYLIC ACID),111
80 mg,EC Tab,ASA (ACETYL SALICYLIC ACID),1395
325 mg,Scored Tab,ASA (ACETYL SALICYLIC ACID),109
325 mg,Supp,ASA (ACETYL SALICYLIC ACID),108
,Tab,ASA CODEINE,110
500 mg,Tab,ASA MICROCOATED,112
,Bulk,ASCORBIC ACID (POWDER),60700
"10,000 u",Inj,ASPARAGINASE,113
100 mg,Scored Coated Tab,ATENOLOL,114
50 mg,Scored Tab,ATENOLOL,115
10 mg,Tab,ATORVASTATINE,1910
20 mg,Tab,ATORVASTATINE,1911
40 mg,Tab,ATORVASTATINE,1912
10 mg/ml (2.5 ml),Inj,ATRACURIUM BESYLATE,116
10 mg/ml (5 ml),Inj,ATRACURIUM BESYLATE,117
0.5 mg/1 ml,Inj,ATROPINE SULFATE,119
10 mg/10 ml,Inj,ATROPINE SULFATE,1397
%,Ophth Oint,ATROPINE SULFATE,120
0.5% (10 ml),Sterile Eye Drop,ATROPINE SULFATE,118
1% (10 ml),Sterile Eye Drop,ATROPINE SULFATE,121
10 mg/ml (2 ml),Inj,ATROPINE SULFATE,2025
2.5 mg/ml (0.8 ml),Inj,ATROPINE SULFATE,99905
50 mg,Tab,AZATHIOPRINE,122
50 mg,Inj,AZATHIOPRINE (AS SODIUM),1399
250 mg,Tab,AZITHROMYCIN,2110
500 mg,Cap,AZITHROMYCIN,2408
500 mg,Tab,AZITHROMYCIN,2407
250 mg,Cap,AZITHROMYCIN (AS EIHYDRATE),123
100 mg/5ml 30ml,Susp,AZITHROMYCIN,2373
200 mg/5ml 15ml,Susp,AZITHROMYCIN,4989
200 mg/5ml 22.5ml,Susp,AZITHROMYCIN,7986
200 mg/5ml 30ml,Susp,AZITHROMYCIN,1400
500 u/g,Ophth Oint,BACITRACIN,128
10 mg,Scored Tab,BACLOFEN,129
25 mg,Scored Tab,BACLOFEN,130
15 ml,Sterile Ophth Sol,BALANCED SALT,2026
18 ml,Sterile Ophth Sol,BALANCED SALT,131
500 ml,Sterile Ophth Sol,BALANCED SALT,132
,Sterile Ophth Sol,BALANCED SALT PLUS GLUTATHION,1401
250 mg,Sol,BALANCED SALT PLUS GLUTATHION,250
135 g/Sachet,Susp,BARIUM SULFATE,1334
,Interavesinal (Vaccine),BCG,1402
75 mg,Inj,BCG - CANCER,1404
50 mcg/dose,Spray,BECLOMETHASONE DIPROPIONATE,133
50 mcg/dose,Spray Nasal,BECLOMETHASONE DIPROPIONATE,7595
10 mg/container,Oral Inhaler,BECLOMETHASONE DIPROPIONATE,2207
10 mg/container,Nasal Inhaler,BECLOMETHASONE DIPROPIONATE,1405
250 mcg/dose,Spray,BECLOMETHASONE DIPROPIONATE,4684
60 ml,Elixir,BELLADONNA PB,135
,Tab,BELLADONNA PB,136
,Bulk,BENZALKONIUM CHLORIDE,140
5%,Top Oint,BENZOCAINE,141
,Bulk,BENZOIC ACID,142
,Bulk,BENZOIN TINCTURE,143
10% (30 ml),Lotion,BENZOYL PEROXIDE,138
10% (40 g),Top Gel,BENZOYL PEROXIDE,137
5% (40 g),Top Gel,BENZOYL PEROXIDE,139
1 g,Bulk,BENZOYL PEROXIDE GEL 10% -T*,60160
1 g,Bulk,BENZOYL PEROXIDE GEL 5% -T*,60150
1 ml,Bulk,BENZOYL PEROXIDE LOTION -T*,60170
2 mg/2 ml,Inj,BENZTROPINE MESYLATE,144
2 mg,Scored Tab,BENZTROPINE MESYLATE,145
0.15% (120 ml),Oral Top Sol,BENZYDAMINE HCL,1406
0.15% (240 ml),Oral Top Sol,BENZYDAMINE HCL,2027
,Bulk,BENZYL BENZOATE,146
25% (250 ml),Lotion,BENZYL BENZOATE,1407
25 mg/ml (4 ml),Vial,BERACTANT,16889
25 mg/ml (8 ml),Intratracheal Suspension,BERACTANT,2372
15 mg,Cap,BETACAROTENE,2111
25 mg,Cap,BETACAROTENE,2112
8 mg,Tab,BETAHISTINE 2HCL,148
100G,Oral powder,BETAIN ANHYDROUS,9805
180G,Oral powder,BETAIN ANHYDROUS,6370
1 g,Bulk,BETAMETHASON CREAM -T*,60180
1 ml,Bulk,BETAMETHASON LOTION -T*,60190
1 g,Bulk,BETAMETHASON POMMADE -T*,60200
0.5 mg,Tab,BETAMETHASONE,150
4 mg/ml,Inj,BETAMETHASONE (AS DISODIUM PHOSPHATE),149
0.1% (20 ml),Lotion,BETAMETHASONE (AS VALERATE),159
0.1% (15 g),Top Cream,BETAMETHASONE (AS VALERATE),161
0.1% (15 g),Top Oint,BETAMETHASONE (AS VALERATE),160
0.1% (100 g),Top Oint,BETAMETHASONE (AS VALERATE),5476
0.10%,Ophth Oint,BETAMETHASONE DISODIUM PHOSPHATE,151
0.10%,Ophth/Otic/Nasal Drop,BETAMETHASONE DISODIUM PHOSPHATE,152
,Inj,BETAMETHASONE LA,153
0.50%,Sterile Eye Drop,BETAXOLOL (AS HCL),163
10 mg,Tab,BETHANECHOL CHLORIDE,162
100MG/4ML,Vial,BEVASIZUMAB,5615
400MG/16ML,Vial,BEVASIZUMAB,5616
2 mg,Tab,BIPERIDEN HCL,164
4 mg,Coated Tab,BIPERIDEN HCL SR,1410
5 mg,Inj,BIPERIDEN LACTATE,165
5 mg,EC Tab,BISACODYL,167
5 mg,Ped Supp,BISACODYL,168
10 mg,Supp,BISACODYL,166
120 mg,Tab,BISMUTH SUB CITRATE,169
,Bulk,BISMUTH SUB NITRATE,60710
15 u,Inj,BLEOMYCIN (AS SULFATE),170
200mg,Cap,BOCEPREVIR,19283
,Bulk,BORAX,171
,Bulk,BORIC ACID,172
3.5MG,Inj,BORTEZOMIB,7088
125 mg,Tab,BOSENTAN,7848
62.5 mg,Tab,BOSENTAN,12114
,Bulk,BOTTLE 240 CC,60920
,Bulk,BOTTLE 60 CC,60900
,Bulk,BOTTLE 120CC,60910
,Bulk,BOTTLE 500 CC,99965
,Bulk,BOTTLE 1000CC,99966
,Bulk,BOTTLE 2000CC,99967
,Bulk,BOTTLE 3000CC,99968
1 ml,Inj,BOTULINUM A TOXIN,1875
500IU,Inj,BOTULINUM A TOXIN,3623
300IU,Inj,BOTULINUM A TOXIN,19172
100IU,Inj,BOTULINUM A TOXIN,11798
,Antitoxin,BOTULISM MONOVALENT (E),1411
,Inj,BOTULISM POLYVALENT (A+B+E),1412
50 mg/1.2 ml,Inj,BOVACTANT,4254
120 mg/4 ml,Lyophilized Powder,BOVINE LUNG SURFACTANT,11244
27mg/ml-(5ml),Inj,BOVINE LIPID EXTRACT SURFACTANT,20622
50 mg/ml (2 ml),Inj,BRETYLIUM TOSILATE,2252
50 mg/ml (10 ml),Inj,BRETYLIUM TOSILATE,175
50 mg/ml (20 ml),Inj,BRETYLIUM TOSILATE,2253
1%,Ophth Susp,BRINZOLAMIDE,1930
4 mg/5 ml,Elixir,BROMHEXINE HCL,177
4 mg/2 ml,Inj,BROMHEXINE HCL,176
8 mg,Tab,BROMHEXINE HCL,178
2.5 mg,Tab,BROMOCRIPTINE,179
200MCG,Inhaler,BUDESONIDE,17793
100MCG/DOSE,Inhaler,BUDESONIDE,8884
64McG,Nasal Spray,BUDESONIDE,8209
0.5MG/2Ml,Nebulising suspension,BUDESONIDE,8889
1MG/2Ml,Nebulising suspension,BUDESONIDE,8891
200/12MCG,Spray,BUDESONIDE,13695
320/9MCG,Inhaler,BUDESONIDE/FORMOTEROL,16503
160/4.5MCG,Inhaler,BUDESONIDE/FORMOTEROL,16506
80/4.5MCG,Inhaler,BUDESONIDE/FORMOTEROL,16502
,Tab,BULDOLAXÂ,6228
0.5% (4 ml),Inj (spinal),BUPIVACAINE HCL,1413
0.25% (20 ml),Inj,BUPIVACAINE HCL,181
0.5% (20 ml),Inj,BUPIVACAINE HCL,2317
0.25% (10 ml),Inj,BUPIVACAINE HCL,2316
0.5% (10 ml),Inj,BUPIVACAINE HCL,182
0.3 mg/ml,Inj,BUPRENORPHINE (AS HCL),1414
,Top Oint,BURN OINTMENT (FOR MINOR BURNS),183
1 mg/ml,Inj,BUSERELIN (AS ACETATE),185
,Nasal Spray,BUSERELIN (AS ACETATE),184
5 mg,Scored Tab,BUSPIRONE HCL,1888
10 mg,Tab,BUSPIRONE HCL,11020
6 mg/ml,Amp,BUSULFAN,6700
2 mg,Tab,BUSULFAN,186
,Bulk,CADE OIL (GOODRON),188
1 g,Bulk,CALAMIN CREAM -T*,60210
8% (30 g),Top Cream,CALAMINE - D,190
8% (60 ml),Lotion,CALAMINE - D,2592
100 iu/ml,Inj,CALCITONIN,2312
50 iu/ml,Inj,CALCITONIN,194
100 iu/dose,Nasal Spray,CALCITONIN SALMON,1415
200 iu/dose,Nasal Spray,CALCITONIN SALMON,1738
0.25 mcg,Cap,CALCITRIOL,195
500 mg,Coated Tab,CALCIUM (AS CARBONATE),198
45 mg,Tab,CALCIUM (AS GLUCONATE),1417
100 mg/ml (10 ml),Inj,CALCIUM CHLORIDE,2113
,FC Tab,CALCIUM - D,197
,Eff Tab,CALCIUM FORTE,199
10% (10 ml),Inj,CALCIUM GLUCONATE,200
,Tab,CALCIUM CITRATE,11440
10 mg/ml (10 ml),Inj,CALCIUM FULINATE,9570
400mg/40 ml,Vial,CALCIUM FULINATE,9573
10 mg/ml (5 ml),Inj,CALCIUM FULINATE,11889
10 mg/ml (20 ml),Inj,CALCIUM FULINATE,9572
500mg,Inj,CALCIUM FULINATE,19476
100mg,Inj Powder,CALCIUM FULINATE,99969
25 mg,Tab,CALCIUM FULINATE( LEUCOVORIN CALCIUM),739
5 mg,Tab,CALCIUM FULINATE( LEUCOVORIN CALCIUM),740
15 mg,Tab,CALCIUM FULINATE( LEUCOVORIN CALCIUM),738
100 mg,Tab,CALCIUM PANTOTHENATE,201
,OINT,CALENDULAÂ,202
,Bulk,CAMPHOR,203
150 mg,Tab,CAPECITABINE,2492
500 mg,Tab,CAPECITABINE,2493
1 g,Inj (IM),CAPREOMYCIN (AS SULFATE),204
25 mg,Scored Tab,CAPTOPRIL,205
50 mg,Scored Tab,CAPTOPRIL,206
,Oral Solution,CARAWAY MIXTUREÂ,1419
200 mg,Scored Tab,CARBAMAZEPINE,208
200 mg,Tab,CARBAMAZEPINE SR,2114
400 mg,Tab,CARBAMAZEPINE SR,1420
10% (15 ml),Liqiud For Top Oral,CARBAMIDE PEROXIDE,209
10 mg/ml (5 ml),Inj,CARBOPLATIN,2375
10 mg/ml (15 ml),Inj,CARBOPLATIN,2376
10 mg/ml (45 ml),"Inj Sol,Concentrate",CARBOPLATIN,99906
150 mg,Infu,CARBOPLATIN,214
50 mg,Infu,CARBOPLATIN,215
50 mg,Inj,CARBOPLATIN,99970
,Bulk,CARBOXY METHYL CELLULOSE (C.M.C),60770
,Ora Drops,CARMINT,1320
100 mg,Inj,CARMOSTINE (BICNU),219
,Oral Sol or Syr,CARNITINE,1422
1000 mg,Oral Sol,CARNITINE,11437
2 gr/ml (5ml),Oral Sol,CARNITINE,99971
,syrup,CARNITINE,99972
250 mg,Tab,CARNITINE,220
200 mg/ml (5 ml),Inj,CARNITINE,743
12.5 mg,Tab,CARVEDILOL,1924
25 mg,Tab,CARVEDILOL,1925
6.25 mg,Tab,CARVEDILOL,2475
70 mg,Vial,CASPOFUNGIN (CANCIDAS),6758
50 mg,Vial,CASPOFUNGIN (CANCIDAS),6757
1 cm,,CAST,66662
,Bulk,CASTOR OIL,221
1 g,Inj,CEFAZOLIN (AS DODIUM),222
250 mg,Inj,CEFAZOLIN (AS DODIUM),223
500 mg,Inj,CEFAZOLIN (AS DODIUM),224
1 g,Vial,CEFEPIME,2416
2 g,Vial,CEFEPIME,2417
500 mg,Vial,CEFEPIME,2418
200 mg,Scored Fc Tab,CEFIXIME,226
400 mg,Scored Fc Tab,CEFIXIME,227
50 mg/Sachet,Ped Susp,CEFIXIME,228
100 mg (50 ml),Susp,CEFIXIME,3849
100 mg (100 ml),Susp,CEFIXIME,2419
200 mg,Cap,CEFIXIME,7495
400 mg,Cap,CEFIXIME,7496
50 mg,Powder For Suspension,CEFIXIME,99907
1 g,Inj,CEFOTAXIME (AS SODIUM),1336
500 mg,Inj,CEFOTAXIME (AS SODIUM),229
2 g,Inj,CEFTAZIDIME (AS PENTAHYDRATE),231
500 mg,Inj,CEFTAZIDIME (AS PENTAHYDRATE),232
1 g,Inj,CEFTAZIDIME (AS PENTAHYDRATE),230
1 g,Inj,CEFTIZOXIME (AS SODIUM),233
500 mg,Inj,CEFTIZOXIME (AS SODIUM),234
250 mg,Vial,CEFTRIAXONE,238
500 mg,Vial,CEFTRIAXONE,239
1 g,Vial,CEFTRIAXONE,237
250mg,Cap,CELLCEPT,5178
500mg,Cap,CELLCEPT,5179
250 mg,Cap,CEPHALEXIN,243
250 mg,Coated Tab,CEPHALEXIN,99908
500 mg,Cap,CEPHALEXIN,245
500 mg,Scored Coated Tab,CEPHALEXIN,99909
125 mg/sachet,Susp,CEPHALEXIN,241
250 mg/sachet,Susp,CEPHALEXIN,244
125 mg (100 ml),Susp,CEPHALEXIN,242
250 mg (100 ml),Susp,CEPHALEXIN,246
1 g,Inj,CEPHALOTHIN (AS SODIUM),247
10 mg,Fc Tab,CETIRIZINE HCL,1424
5 mg,Tab,CETIRIZINE HCL,2231
250MCG,Vial,CETRORELIX ACETATE,5291
"5mg/ml,20 ml",Inj,CETUXIMAB (ERBITUX),15691
"2mg/ml,50ml",Inj,CETUXIMAB (ERBITUX),4258
0.05% (240 ml),Mouthwash,CETYLPYRIDINIUM CHOLORIDE,259
50 g,Susp,CHARCOAL ACTIVATED,1427
30 g/240 ml,Susp (1gr),CHARCOAL ACTIVATED,1426
250 mg,Tab,CHARCOAL ACTIVATED,1425
,Chewable Tab,CHILDREN COLD,260
10 mg,Coated Tab,CHLOR DIAZEPOXIDE,267
5 mg,Coated Tab,CHLOR DIAZEPOXIDE,268
0.20%,Mouthwash,CHLOR HEXIDINE GLUCONATE,270
4%,Top Sol,CHLOR HEXIDINE GLUCONATE + DETERGENT,269
4 mg,Double Scored Tab,CHLOR PHENIRAMINE MALEATE,276
10 mg/ml,Inj,CHLOR PHENIRAMINE MALEATE,275
2 mg/5 ml,Syrup,CHLOR PHENIRAMINE MALEATE,2014
8 mg,Tab,CHLOR PHENIRAMINE MALEATE SR,1431
100 mg,Coated Tab,CHLOR PROMAZINE HCL,278
25 mg,Coated Tab,CHLOR PROMAZINE HCL,279
50 mg/4 ml,Inj (IM),CHLOR PROMAZINE HCL,277
250 mg,Scored Tab,CHLOR PROPAMIDE,261
250 mg,Cap,CHLORAM PHENICOL,265
250 mg,Tab,CHLORAM PHENICOL,99910
0.50%,Sterile Eye Drop,CHLORAM PHENICOL,264
150 mg/5 ml (60 ml),Susp,CHLORAM PHENICOL (AS PALMITATE),263
1 g,Inj,CHLORAM PHENICOL (AS SODIUM SUCCINATE),266
2 mg,Tab,CHLORAMBUCIL,262
10 mg,Inj,CHLORMETHINE HCL (NITROGEN MUSTARD),2116
150 mg,Coated Tab,CHLORO QUINE (AS PHOSPHATE),271
150 mg/5 ml,Inj,CHLORO QUINE (AS PHOSPHATE),1428
200 mg/5 ml,Inj,CHLORO QUINE (AS PHOSPHATE),1757
50 mg/5 ml,Syrup,CHLORO QUINE (AS SULPHATE),1429
100 mg,Double Scored Tab,CHLORTHALIDONE,280
4 g/sachet,Susp,CHOLESTYRAMINE,283
1500 U,Inj,CHORIONIC GONADOTROPHIN (HUMAN),284
500 U,Inj,CHORIONIC GONADOTROPHIN (HUMAN),285
5000 U,Inj,CHORIONIC GONADOTROPHIN (HUMAN),286
100 mg,Cap,CICLOSPORIN,287
25 mg,Cap,CICLOSPORIN,288
50 mg/ml (1 ml),Infu,CICLOSPORIN,1452
50 mg/ml (5 ml),Infu,CICLOSPORIN,6685
100 mg/ml,Oral Sol,CICLOSPORIN,289
50 mg,Cap,CICLOSPORIN,1758
2%,Opht Drop,CICLOSPORIN,2424
200 mg,FC Tab,CIMETIDIME,290
200 mg/2 ml,Inj,CIMETIDIME (AS HCL),291
200 mg/5 ml,Syrup,CIMETIDIME (AS HCL),1433
30 mg,Tab,CINACALCET,8066
60 mg,Tab,CINACALCET,13571
90 mg,Tab,CINACALCET,13610
25 mg,Tab,CINNARIZINE,292
75 mg,Tab,CINNARIZINE,293
250 mg,FC Tab,CIPROFLOXACIN (AS HCL),295
500 mg,FC Tab,CIPROFLOXACIN (AS HCL),296
0.30%,Sterile Eye Drop,CIPROFLOXACIN (AS HCL),297
200mg/20ml,Inj,CIPROFLOXACIN,2250
200mg/100ml,Inj,CIPROFLOXACIN,294
10 mg,Scored Tab,CISAPRIDE (AS MONOHYDRATE),298
5 mg,Scored Tab,CISAPRIDE (AS MONOHYDRATE),300
0.5 mg/ml (20 ml),Infu,CISPLATIN,1434
0.5 mg/ml (100 ml),Infu,CISPLATIN,2117
10 mg,Infu,CISPLATIN,11867
50 mg,Infu,CISPLATIN,11868
50 mg,Vial,CISPLATIN,99973
10 mg,Vial,CISPLATIN,99974
20 mg,Tab,CITALOPRAM,1905
40 mg,Tab,CITALOPRAM,1906
250 mg/2 ml,Inj,CITICOLINE (AS SODIUM),303
,Bulk,CITRIC ACID,304
10 mg/10 ml,Infu,CLADRIBINE,305
2 mg/ml (5 ml),Inj Sol,CLADRIBINE,2377
,Tab (Jar),C-LAXÂ,187
,Tab (bilister),C-LAXÂ,13497
2 ml,Inj,CLEMASTINE (AS FUMARATE),307
1 mg,Tab,CLEMASTINE (AS FUMARATE),306
,Sc Tab,CLIDINIUM-C,308
300 mg/2 ml,Amp,CLINDAMYCIN,1947
300 mg,Cap,CLINDAMYCIN,9464
150 mg,Cap,CLINDAMYCIN (AS HCI),309
75 mg/5 ml (100 ml),Susp,CLINDAMYCIN (AS PALMITATE HCI),1435
150 mg/ml,Inj,CLINDAMYCIN (AS PHOSPHATE),310
1%,Top Gel,CLINDAMYCIN (AS PHOSPHATE),1862
1% (60 ml),Top Sol,CLINDAMYCIN (AS PHOSPHATE),1374
,Bulk,CLINDAMYCIN PHOSPHATE (POWDER),311
600mg/4ml,Inj,CLINDAMYCIN,11753
10 mg,Scored Tab,CLOBAZAM,312
0.05% (15 g),Top Cream,CLOBETASOL PROPIONATE,313
0.05% (15 g),Top Oint,CLOBETASOL PROPIONATE,314
0.05% (100 g),Top Oint,CLOBETASOL PROPIONATE,3380
0.05%,Lotion,CLOBETASOL PROPIONATE,2425
1 g,Bulk,CLOBETASOL CREAM -T*,60220
1g,Bulk,CLOBETASOL POMMADE -T*,60230
40 mg,Coated Tab,CLOBUTINOL HCL,315
20 mg/2 ml,Inj,CLOBUTINOL HCL,317
60 mg/ml,Oral Drop,CLOBUTINOL HCL,316
500 mg,Cap,CLOFIBRATE,318
50 mg,Tab,CLOMIPHENE CITRATE,319
10 mg,SC Tab,CLOMIPRAMINE HCI,320
25 mg,SC Tab,CLOMIPRAMINE HCI,321
50 mg,SC Tab,CLOMIPRAMINE HCI,1438
75 mg,SC Tab,CLOMIPRAMINE HCI,1439
1 mg,Scored Tab,CLONAZEPAM,322
2 mg,Tab,CLONAZEPAM,323
0.2 mg,Scored Tab,CLONIDINE HCI,324
